#,status,current_title,recommended_title,old_slug,recommended_slug,slug_action,category,seo_focus_keyword,permalink_path,thumbnail_template,thumbnail_title,visual_motif,micro_labels
52,publish,Quran-Centrism Does NOT Work,Quran-Centrism Does Not Work? A Response,quran-centrism-does-not-work,quran-centrism-does-not-work-response,Update title/slug + 301 redirect,Philosophy & Epistemology,Quran-Centrism Does Not Work? A Response,/quran-centrism-does-not-work-response/,quranic-criterion,QURAN-CENTRISM DOES NOT WORK,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",Quran-centrism; critique; methodology
53,publish,The Fraud of Bukhari's 'Fourth Criterion',Bukhari’s Fourth Criterion: A Critical Examination,the-fraud-of-bukharis-fourth-criterion,bukharis-fourth-criterion-critical-examination,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Bukhari’s Fourth Criterion,/bukharis-fourth-criterion-critical-examination/,isnad-forensics,THE FRAUD OF BUKHARI'S 'FOURTH CRITERION',A canonical volume silhouette opened into a forensic grid with one highlighted blind spot.,Bukhari; fourth criterion; methodology
54,publish,"“The Companions All Agreed!” – No, They Didn’t.",Did All the Companions Agree? A Critique of Ijmāʿ Claims,the-companions-all-agreed-no-they-didnt,companions-agreed-ijma-critique,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",All the Companions Agree? A Critique of Ijmāʿ Claims,/companions-agreed-ijma-critique/,legal-edifice,"“THE COMPANIONS ALL AGREED!” – NO, THEY DIDN’T.","A legal-theory architecture diagram: columns labeled Sunnah, ijmāʿ, qiyās, with cracks in the foundation.",companion consensus; ijmaʿ; legal authority
55,publish,The Myth of the 'Ten Promised Paradise' Hadith,Ten Promised Paradise Hadith: Myth and Transmission,the-myth-of-the-ten-promised-paradise-hadith,ten-promised-paradise-hadith-myth-transmission,Update title/slug + 301 redirect,Quranic Theology & Tafsir,Ten Promised Paradise Hadith,/ten-promised-paradise-hadith-myth-transmission/,quranic-criterion,THE MYTH OF THE 'TEN PROMISED PARADISE' HADITH,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",ten promised paradise; salvation doctrine
56,publish,Quran 22:15: Suicide or Salvation?,Quran 22:15: Suicide or Salvation?,quran-2215-suicide-or-salvation,quran-22-15-suicide-or-salvation,Keep slug,Quranic Theology & Tafsir,Quran 22,/quran-22-15-suicide-or-salvation/,quranic-criterion,QURAN 22:15: SUICIDE OR SALVATION?,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",Quran 22:15; tafsir
57,publish,The Traditional Distortion of 4:3 - Polygamy,Quran 4:3 and Polygamy: The Traditional Distortion,the-traditional-distortion-of-43-polygamy,quran-4-3-polygamy-traditional-distortion,Update title/slug + 301 redirect,Ritual Practice & Legal Reform,Quran 4,/quran-4-3-polygamy-traditional-distortion/,quranic-criterion,THE TRADITIONAL DISTORTION OF 4:3 - POLYGAMY,"Quran 4:3 displayed as a branching guardianship diagram, not generic marriage imagery.",polygamy; Quran 4:3; legal distortion
58,publish,Before Madhabs - Dirār’s Stance Against Hadith,Before the Madhhabs: Dirār’s Stance Against Hadith,before-madhabs-dirars-stance-against-hadith,before-madhhabs-dirars-stance-against-hadith,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",Before the Madhhabs,/before-madhhabs-dirars-stance-against-hadith/,legal-edifice,BEFORE MADHABS - DIRĀR’S STANCE AGAINST HADITH,"A legal-theory architecture diagram: columns labeled Sunnah, ijmāʿ, qiyās, with cracks in the foundation.",Dirar; before madhhabs; hadith critique
59,publish,"Reflections After Reading al-Shāfiʿī’s ""Kitāb Jāmiʿ al-ʿIlm""","al-Shāfiʿī, Jāmiʿ al-ʿIlm, and the Quranist Debate",shafii-quranist-debate-critique,al-shafii-jami-al-ilm-quranist-debate,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority","al-Shāfiʿī, Jāmiʿ al-ʿIlm, and the Quranist Debate",/al-shafii-jami-al-ilm-quranist-debate/,quranic-criterion,"REFLECTIONS AFTER READING AL-SHĀFIʿĪ’S ""KITĀB JĀMIʿ A…","A juristic edifice made of stacked blocks labeled ḥadīth, ijmāʿ, qiyās, naskh; one block misaligned.",al-Shafiʿi; Quranist debate; usul
60,publish,Exposing Flaws in Dr. Shadee Elmasry’s Hadith Defense,Shadee Elmasry’s Hadith Defense: A Critical Response,exposing-flaws-in-dr-shadee-elmasrys-hadith-defense,shadee-elmasrys-hadith-defense-critical-response,Update title/slug + 301 redirect,Philosophy & Epistemology,Shadee Elmasry’s Hadith Defense,/shadee-elmasrys-hadith-defense-critical-response/,logic-lab,EXPOSING FLAWS IN DR. SHADEE ELMASRY’S HADITH DEFENSE,"A clean argument diagram: premises, inference arrows, contradiction marker, and verification seal.",Western epistemology; hadith defense; Shadee Elmasry
61,publish,"The Concept of ""Established Practice""",Established Practice in Islamic Law: A Quranic Critique,the-concept-of-established-practice,established-practice-islamic-law-quranic-critique,Update title/slug + 301 redirect,Ritual Practice & Legal Reform,Established Practice in Islamic Law,/established-practice-islamic-law-quranic-critique/,ritual-diagram,"THE CONCEPT OF ""ESTABLISHED PRACTICE""",A practical ritual schematic with compass/grid geometry and correction marks.,established practice; prayer without hadith
62,publish,Al-Shāfiʿī's Argument For Probabilistic Hadith - Refuted.,al-Shāfiʿī’s Probabilistic Hadith Argument Refuted,al-shafi%ca%bfis-argument-for-probabilistic-hadith-refuted,al-shafii-probabilistic-hadith-refuted,Replace irrelevant/encoded slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",al-Shāfiʿī’s Probabilistic Hadith Argument Refuted,/al-shafii-probabilistic-hadith-refuted/,legal-edifice,AL-SHĀFIʿĪ'S ARGUMENT FOR PROBABILISTIC HADITH,"A juristic edifice made of stacked blocks labeled ḥadīth, ijmāʿ, qiyās, naskh; one block misaligned.",probabilistic hadith; al-Shafiʿi; zann
63,publish,"The Resurrection's 500 Witnesses? One Chain, Not 500.","Resurrection’s 500 Witnesses: One Chain, Not 500",the-resurrections-500-witnesses-one-chain-not-500,resurrections-500-witnesses-one-chain-not-500,Update title/slug + 301 redirect,Comparative Religion & Biblical Studies,Resurrection’s 500 Witnesses,/resurrections-500-witnesses-one-chain-not-500/,isnad-forensics,"THE RESURRECTION'S 500 WITNESSES? ONE CHAIN, NOT 500.",A “500 witnesses” claim reduced to one single-chain diagram node.,resurrection; 500 witnesses; isnad critique
64,publish,Whitewashing al-Zuhri — and Why It Fails,Whitewashing al-Zuhri: Why It Fails,whitewashing-al-zuhri-and-why-it-fails,whitewashing-al-zuhri-why-fails,Update title/slug + 301 redirect,Hadith Transmission & Rijāl Criticism,Whitewashing al-Zuhri,/whitewashing-al-zuhri-why-fails/,isnad-forensics,WHITEWASHING AL-ZUHRI — AND WHY IT FAILS,A court historian file card with erased margins and a highlighted transmitter node.,al-Zuhri; super-proliferator; rijal
65,publish,The Quranic Warning Fulfilled: Scholars as Legislative Lords,Scholars as Legislative Lords: The Quranic Warning Fulfilled,the-quranic-warning-fulfilled-scholars-as-legislative-lords,scholars-legislative-lords-quranic-warning-fulfilled,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",Scholars as Legislative Lords,/scholars-legislative-lords-quranic-warning-fulfilled/,quranic-criterion,THE QURANIC WARNING FULFILLED,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",scholars as lords; legislation; 9:31
66,publish,Hume’s Problem of Induction vs. Hadith,Hume’s Problem of Induction and Hadith,humes-problem-of-induction-vs-hadith,humes-problem-induction-hadith,Update title/slug + 301 redirect,Philosophy & Epistemology,Hume’s Problem of Induction and Hadith,/humes-problem-induction-hadith/,logic-lab,HUME’S PROBLEM OF INDUCTION VS. HADITH,"A probability curve collapsing into an isnād chain, with “INDUCTION” as the header.",Hume; induction; hadith reliability
67,publish,Wittgenstein’s 'Beetle' in the Isnād,Wittgenstein’s Beetle in the Isnad,wittgensteins-beetle-in-the-isnad,wittgensteins-beetle-isnad,Update title/slug + 301 redirect,Philosophy & Epistemology,Wittgenstein’s Beetle in the Isnad,/wittgensteins-beetle-isnad/,isnad-forensics,WITTGENSTEIN’S 'BEETLE' IN THE ISNĀD,A sealed black box labeled “PRIVATE REPORT” beside a beetle-line icon and narrator chain.,Wittgenstein; private language; isnad
68,publish,The Sunni-Quranic Abrogation Dilemma,Sunni Abrogation and the Quran: The Legal Dilemma,the-sunni-quranic-abrogation-dilemma,sunni-abrogation-quran-legal-dilemma,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",Sunni Abrogation and the Quran,/sunni-abrogation-quran-legal-dilemma/,quranic-criterion,THE SUNNI-QURANIC ABROGATION DILEMMA,"Two manuscript leaves marked “verse” and “report,” with the report attempting to overwrite the verse.",abrogation; naskh; Sunni dilemma
69,publish,How the Legal Islamic Class Invented Their Own Divine Reward,How Islamic Legal Scholars Invented Divine Reward,how-the-legal-islamic-class-invented-their-own-divine-reward,how-islamic-legal-scholars-invented-divine-reward,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",How Islamic Legal Scholars Invented Divine Reward,/how-islamic-legal-scholars-invented-divine-reward/,legal-edifice,HOW THE LEGAL ISLAMIC CLASS INVENTED THEIR OWN DIVINE…,"A legal-theory architecture diagram: columns labeled Sunnah, ijmāʿ, qiyās, with cracks in the foundation.",legal class; ijtihad; divine reward
70,publish,Sunnis Have Disbelieved in 5:3 of The Quran.,Did Sunnis Disbelieve in Quran 5:3?,sunnis-have-disbelieved-in-53-of-the-quran,sunnis-disbelieved-quran-5-3,Update title/slug + 301 redirect,"Legal Theory, Madhhabs & Juristic Authority",Sunnis Disbelieve in Quran 5,/sunnis-disbelieved-quran-5-3/,quranic-criterion,SUNNIS HAVE DISBELIEVED IN 5:3 OF THE QURAN.,"A luminous Quranic folio panel centered against a dark grid, with external claims orbiting as faint labels.",Quran 5:3; completion; legal authority
71,publish,The Day They Seated the Prophet Besides God (literally),Seating the Prophet Beside God: A Hadith Critique,the-day-they-seated-the-prophet-besides-god-literally,seating-prophet-beside-god-critique,Update title/slug + 301 redirect,Quranic Theology & Tafsir,Seating the Prophet Beside God,/seating-prophet-beside-god-critique/,prophecy-dossier,THE DAY THEY SEATED THE PROPHET BESIDES GOD (LITERALLY),"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",maqam mahmud; throne; anthropomorphism
72,publish,More on: The Fabricated 'Baghdad' Hadith Prophecy,Baghdad Hadith Prophecy: More Evidence of Fabrication,more-on-the-fabricated-baghdad-hadith-prophecy,baghdad-hadith-prophecy-more-evidence-fabrication,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Baghdad Hadith Prophecy,/baghdad-hadith-prophecy-more-evidence-fabrication/,isnad-forensics,MORE ON: THE FABRICATED 'BAGHDAD' HADITH PROPHECY,A radial transmitter network with one common-link node glowing gold and questionable paths in muted red.,Baghdad; Saʿid ibn Jumhan; prophecy
73,publish,Most Popular Hadith Website (Sunnah.com) Caught Manipulating Hadith,Sunnah.com and the Green Arabia Hadith Translation Change,green-arabia-hadith-sunnah-com-translation-change-fabrication,sunnah-com-green-arabia-hadith-translation-change,Update title/slug + 301 redirect,"Prophecies, Eschatology & Miracle Claims",Sunnah.com and the Green Arabia Hadith,/sunnah-com-green-arabia-hadith-translation-change/,prophecy-dossier,MOST POPULAR HADITH WEBSITE (SUNNAH.COM) CAUGHT MANIP…,"A chronological evidence board: date ticks, event cards, redacted prophecy quote, and manuscript dust.",Green Arabia; Sunnah.com; translation manipulation
74,publish,The Quranic Epistemology of Verification (Q. 49:6),Quran 49:6 and the Epistemology of Verification,the-quranic-epistemology-of-verification,quran-49-6-epistemology-verification,Update title/slug + 301 redirect,Philosophy & Epistemology,Quran 49,/quran-49-6-epistemology-verification/,quranic-criterion,THE QURANIC EPISTEMOLOGY OF VERIFICATION (Q. 49:6),"A verification pipeline: report → check → criterion, with Quran 49:6 as a small gold label.",Quranic epistemology; verification; Q49:6
